,Horovitz Márkus,8127,Aba,Gutenberg tér 65,+36-20-496033,
,Stern Adolf,8127,Aba,Nagy Templom utca 61,+36-21-549827,
,Engel Adolf,8127,Aba,Murányi utca 29,+36-22-718084,
,Naschér Sinai Simon,8127,Aba,Almássy tér 33,+36-23-681863,
,Abonyi Andor Nándor,8127,Aba,Anna utca 92,+36-24-883270,
,Horshetzky Móric,5241,Abádszalók,Gül Baba utca 98,+36-25-504128,
,Abonyi Ármin,5241,Abádszalók,Akadémia utca 44,+36-26-841281,
,Stern Albert,5241,Abádszalók,Nagykörút 121,+36-27-460351,
,Nátán Bernát,5241,Abádszalók,Almássy utca 76,+36-28-441301,
,Engel Alexander,5241,Abádszalók,Muzsikus cigányok parkja 129,+36-29-634955,
,Nátán Salamon,3881,Abaújszántó,Alpár utca 115,+36-30-446215,
,Acél Dezsõ,3881,Abaújszántó,Apáczai Csere János utca 38,+36-31-227337,
,Stern Bernát,3881,Abaújszántó,Nagymezõ utca 14,+36-32-489535,
,Engel Fülöp,3881,Abaújszántó,Március 15. tér 73,+36-33-262274,
,Horvát Albert,3881,Abaújszántó,Gyarmat utca 15,+36-34-792549,
,Stern Gerzson,2740,Abony,Nagysándor József utca 114,+36-35-195737,
,Horvát Dezsõ,2740,Abony,Gyõrffy István utca 97,+36-36-101499,
,Natonek József,2740,Abony,Alsó erdõsor utca 131,+36-37-447635,
,Aczél Henrik Emil,2740,Abony,Alföldi utca 97,+36-40-564277,
,Engel Gyula,2740,Abony,Mária utca 128,+36-42-817564,
,Nébel Ábrahám Izsák,2941,Ács,Amerikai út 12,+36-44-730880,
,Acsády Jenõ,2941,Ács,Alkotmány utca 40,+36-45-812693,
,Engel Mózes,2941,Ács,Máriaremetei út 29,+36-46-384062,
,Stern Ignác,2941,Ács,Nagyvárad tér 9,+36-47-246397,
,Horváth Lipót,2941,Ács,Gyulai Pál utca 107,+36-48-590278,
,Nemess Zsigmond,2457,Adony,Angol utca 78,+36-49-872349,
,Stern Lázár,2457,Adony,Nap utca 5,+36-50-222243,
,Horvitz H. Dávid,2457,Adony,Hajós utca 44,+36-51-375128,
,Ada Adrienne,2457,Adony,Alkotás utca 75,+36-52-290203,
,Engel Zsigmond,2457,Adony,Márkus Emília utca 50,+36-53-660902,
,Neubauer Adolf,4524,Ajak,Anker köz 15,+36-54-320326,
,Adler Adolf,4524,Ajak,Ajtósi Dürer sor 36,+36-55-501077,
,Engelsmann Izidor,4524,Ajak,Márton Áron tér 30,+36-56-150616,
,Hoselitz Gyula,4524,Ajak,Haller utca 63,+36-57-553106,
,Stern Max Emanuel,4524,Ajak,Nefelejcs utca 122,+36-59-765487,
,Adler Gyula,8400,Ajka,Almássy tér 33,+36-60-376728,
,Enten Mór,8400,Ajka,Alkotás utca 75,+36-61-528459,
,Stern Menachem Mendel,8400,Ajka,Német utca 25,+36-62-316980,
,Hönig Ábrahám,8400,Ajka,Hamzsabégi út 75,+36-63-505469,
,Neubauer József,8400,Ajka,Anna utca 92,+36-66-450493,
,Stern Salamon,2730,Albertirsa,Németh László utca 46,+36-68-626970,
,Adler Heinrich,2730,Albertirsa,Almássy utca 76,+36-69-639528,
,Hönig Adolf,2730,Albertirsa,Harmincad utca 91,+36-70-105019,
,Neufeld Ármin,2730,Albertirsa,Apáczai Csere János utca 38,+36-72-205235,
,Eppler Sándor,2730,Albertirsa,Almássy utca 76,+36-73-768110,
,Stern Sámuel,3571,Alsózsolca,Népszínház utca 121,+36-74-810499,
,Epstein Ábrahám Halévi,3571,Alsózsolca,Mátyás király tér 3,+36-75-401394,
,Hönig Dezsõ,3571,Alsózsolca,Harminckettesek tere 33,+36-76-815181,
,Neuhaus Ábrahám,3571,Alsózsolca,Ajtósi Dürer sor 36,+36-77-156387,
,Adler Ignác,3571,Alsózsolca,Alpár utca 115,+36-78-303489,
,Neumann Áser,2170,Aszód,Akácfa utca 120,+36-79-104696,
,Epstein Gyula,2170,Aszód,Mátyás király út 85,+36-80-647617,
,Hubert Zsigmond,2170,Aszód,Hársfa utca 37,+36-82-385984,
,Adler Illés,2170,Aszód,Alsó erdõsor utca 131,+36-83-318383,
,Stern Selemo Zalman,2170,Aszód,Nyár utca 54,+36-84-591392,
,Epstein Rezsõ,2943,Bábolna,Mátyás tér 115,+36-85-282674,
,Huppert Leó,2943,Bábolna,Hegedû utca 126,+36-87-229652,
,Neumann Dávid,2943,Bábolna,Akadémia utca 44,+36-88-719462,
,Adler Lajos,2943,Bábolna,Amerikai út 12,+36-89-345179,
,Stern Vilmos,2943,Bábolna,Nyugati tér 78,+36-90-725167,
,Erdély Jenõ,6430,Bácsalmás,Ménesi út 71,+36-91-673415,
,Irányi Dezsõ,6430,Bácsalmás,Hegyalja út 33,+36-92-896935,
,Neumann Ede,6430,Bácsalmás,Alföldi utca 97,+36-93-657493,
,Adler Sámuel,6430,Bácsalmás,Angol utca 78,+36-94-755920,
,Stier Josef,6430,Bácsalmás,Ó utca 137,+36-95-524705,
,Erdélyi Ernõ,8258,Badacsonytomaj,Mérleg utca 96,+36-96-276731,
,Neumann Henrik,8258,Badacsonytomaj,Alkotás utca 75,+36-99-881891,
,Stier-Somló Fritz,8258,Badacsonytomaj,Október 6. utca 82,+36-20-415932,
,Adler Sándor,8258,Badacsonytomaj,Anker köz 15,+36-21-673763,
,Israel Jacob,8258,Badacsonytomaj,Henryk S³awik rakpart 99,+36-22-395643,
,Störk  Félix,6500,Baja,Oktogon 10,+36-23-278373,
,Adler Vilmos,6500,Baja,Anna utca 92,+36-24-264393,
,Neumann József,6500,Baja,Alkotmány utca 40,+36-25-312947,
,Erdész István,6500,Baja,Mészáros utca 85,+36-26-579405,
,Iványi-Grünwald Ede,6500,Baja,Hercegprímás utca 28,+36-27-230330,
,Adler Vince,4561,Baktalórántháza,Apáczai Csere János utca 38,+36-28-608899,
,Jacobi Béla,4561,Baktalórántháza,Hermina út 57,+36-29-181415,
,Neumann József,4561,Baktalórántháza,Almássy tér 33,+36-30-136670,
,Erdõs Iván,4561,Baktalórántháza,Mókus utca 141,+36-31-857293,
,Strasser Albert,4561,Baktalórántháza,Olof Palme sétány 130,+36-32-410250,
,Jacobi József,2660,Balassagyarmat,Hernád utca 30,+36-33-208484,
,Neumann Mózes Sámuel,2660,Balassagyarmat,Almássy utca 76,+36-34-367980,
,Adorján Ármin,2660,Balassagyarmat,Apáthy István utca 18,+36-35-357855,
,Erdõs Lajos,2660,Balassagyarmat,Móra Ferenc utca 95,+36-36-326146,
,Strasser Dávid Júda,2660,Balassagyarmat,Orczy tér 119,+36-37-370566,
,Adorján Berta,8220,Balatonalmádi,Aradi utca 114,+36-40-461453,
,Jacobi Olivér,8220,Balatonalmádi,Hidegkúti út 72,+36-42-232160,
,Neumann Sándor,8220,Balatonalmádi,Alpár utca 115,+36-44-217520,
,Erdõs Lajos,8220,Balatonalmádi,Móricz Zsigmond körtér 131,+36-45-888537,
,Strasser Eleázár,8220,Balatonalmádi,Orczy út 140,+36-46-657050,
,Jakobi Emil,8630,Balatonboglár,Himfy utca 102,+36-47-623882,
,Neumann Wilhem,8630,Balatonboglár,Alsó erdõsor utca 131,+36-48-682759,
,Ernst Lajos,8630,Balatonboglár,Múzeum utca 122,+36-49-857452,
,Aharon ben Jicchok,8630,Balatonboglár,Arany János utca 29,+36-50-178314,
,Strasser Miksa,8630,Balatonboglár,Országház utca 57,+36-51-809139,
,Jakobi Kálmán,8623,Balatonföldvár,Hock János utca 124,+36-52-563659,
,Ernst Zoltán,8623,Balatonföldvár,Nagy Diófa utca 123,+36-53-141251,
,Sugár Ignác,8623,Balatonföldvár,Osvát utca 51,+36-54-469041,
,Neusatz Lipman Eliezer,8623,Balatonföldvár,Amerikai út 12,+36-55-535497,
,Alapi Béla,8623,Balatonföldvár,Aranykéz utca 52,+36-56-702483,
,Sussmann Wolf,8230,Balatonfüred,Osztály utca 55,+36-57-642939,
,Erõs Andor,8230,Balatonfüred,Nagy Fuvaros utca 99,+36-59-209372,
,Neuschloss Simon,8230,Balatonfüred,Angol utca 78,+36-60-122070,
,Alba Nevis,8230,Balatonfüred,Asbóth utca 51,+36-61-527848,
,Jakobovits Artúr,8230,Balatonfüred,Hold utca 44,+36-62-594306,
,Erõs Vilmos,8175,Balatonfûzfõ,Nagy Ignác utca 55,+36-63-100472,
